Match_ID,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Winning_Innings
ODI # 1,Australia,England,Melbourne,1971-01-05 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 2,England,Australia,Manchester,1972-08-24 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 3,England,Australia,Lord's,1972-08-26 00:00:00,Australia,England,Home,Away,First,Second,2nd
ODI # 4,England,Australia,Birmingham,1972-08-28 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 5,New Zealand,Pakistan,Christchurch,1973-02-11 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 6,England,New Zealand,Swansea,1973-07-18 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 8,England,West Indies,Leeds,1973-09-05 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 9,England,West Indies,The Oval,1973-09-07 00:00:00,West Indies,England,Home,Away,First,Second,2nd
ODI # 10,New Zealand,Australia,Dunedin,1974-03-30 00:00:00,Australia,New Zealand,Home,Away,First,Second,2nd
ODI # 11,New Zealand,Australia,Christchurch,1974-03-31 00:00:00,Australia,New Zealand,Home,Away,Second,First,1st
ODI # 12,England,India,Leeds,1974-07-13 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 13,England,India,The Oval,,England,England,Home,Away,Second,First,2nd
ODI # 14,England,Pakistan,Nottingham,1974-08-31 00:00:00,Pakistan,England,Home,Away,First,Second,2nd
ODI # 15,England,Pakistan,Birmingham,1974-09-03 00:00:00,Pakistan,England,Home,Away,First,Second,2nd
ODI # 16,Australia,England,Melbourne,1975-01-01 00:00:00,England,Australia,Home,Away,First,Second,2nd
ODI # 19,England,India,Lord's,1975-06-07 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 20,East Africa,New Zealand,Birmingham,1975-06-07 00:00:00,New Zealand,England,Neutral,Neutral,Second,First,1st
ODI # 21,Australia,Pakistan,Leeds,1975-06-07 00:00:00,Australia,England,Neutral,Neutral,First,Second,1st
ODI # 22,Sri Lanka,West Indies,Manchester,1975-06-07 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 23,England,New Zealand,Nottingham,1975-06-11 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 24,East Africa,India,Leeds,1975-06-11 00:00:00,India,England,Neutral,Neutral,First,Second,2nd
ODI # 25,Australia,Sri Lanka,The Oval,1975-06-11 00:00:00,Australia,England,Neutral,Neutral,First,Second,1st
ODI # 26,Pakistan,West Indies,Birmingham,1975-06-11 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 27,England,East Africa,Birmingham,1975-06-14 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 28,India,New Zealand,Manchester,1975-06-14 00:00:00,New Zealand,England,Neutral,Neutral,First,Second,2nd
ODI # 29,Australia,West Indies,The Oval,1975-06-14 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 30,Pakistan,Sri Lanka,Nottingham,1975-06-14 00:00:00,Pakistan,England,Neutral,Neutral,First,Second,1st
ODI # 31,England,Australia,Leeds,1975-06-18 00:00:00,Australia,England,Home,Away,First,Second,2nd
ODI # 32,New Zealand,West Indies,The Oval,1975-06-18 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 33,Australia,West Indies,Lord's,1975-06-21 00:00:00,West Indies,England,Neutral,Neutral,Second,First,1st
ODI # 34,Australia,West Indies,Adelaide,1975-12-20 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 35,New Zealand,India,Christchurch,1976-02-21 00:00:00,New Zealand,New Zealand,Home,Away,Second,First,2nd
ODI # 36,New Zealand,India,Auckland,1976-02-22 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 37,England,West Indies,Scarborough,1976-08-26 00:00:00,West Indies,England,Home,Away,First,Second,2nd
ODI # 38,England,West Indies,Lord's,,West Indies,England,Home,Away,Second,First,1st
ODI # 39,England,West Indies,Birmingham,,West Indies,England,Home,Away,Second,First,1st
ODI # 40,Pakistan,New Zealand,Sialkot,1976-10-16 00:00:00,New Zealand,Pakistan,Home,Away,Second,First,1st
ODI # 41,West Indies,Pakistan,Albion,1977-03-16 00:00:00,West Indies,West Indies,Home,Away,Second,First,2nd
ODI # 42,England,Australia,Manchester,1977-06-02 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 43,England,Australia,Birmingham,1977-06-04 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 44,England,Australia,The Oval,1977-06-06 00:00:00,Australia,England,Home,Away,First,Second,2nd
ODI # 45,Pakistan,England,Sahiwal,1977-12-23 00:00:00,England,Pakistan,Home,Away,First,Second,2nd
ODI # 46,Pakistan,England,Sialkot,1977-12-30 00:00:00,England,Pakistan,Home,Away,First,Second,2nd
ODI # 47,Pakistan,England,Lahore,1978-01-13 00:00:00,Pakistan,Pakistan,Home,Away,First,Second,1st
ODI # 48,West Indies,Australia,St John's,1978-02-22 00:00:00,West Indies,West Indies,Home,Away,First,Second,1st
ODI # 49,West Indies,Australia,Castries,1978-04-12 00:00:00,Australia,West Indies,Home,Away,First,Second,2nd
ODI # 50,England,Pakistan,Manchester,,England,England,Home,Away,First,Second,1st
ODI # 51,England,Pakistan,The Oval,1978-05-26 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 52,England,New Zealand,Scarborough,1978-07-15 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 53,England,New Zealand,Manchester,1978-07-17 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 54,Pakistan,India,Quetta,1978-10-01 00:00:00,India,Pakistan,Home,Away,Second,First,1st
ODI # 55,Pakistan,India,Sialkot,1978-10-13 00:00:00,Pakistan,Pakistan,Home,Away,Second,First,2nd
ODI # 58,Australia,England,Melbourne,1979-01-24 00:00:00,England,Australia,Home,Away,First,Second,2nd
ODI # 59,Australia,England,Melbourne,1979-02-04 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 60,Australia,England,Melbourne,1979-02-07 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 61,India,West Indies,Birmingham,1979-06-09 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 62,New Zealand,Sri Lanka,Nottingham,1979-06-09 00:00:00,New Zealand,England,Neutral,Neutral,Second,First,2nd
